Date,Open,High,Low,Close
1972-07-07,0.6097,0.6097,0.6097,0.6097
1972-07-10,0.6091,0.6091,0.6091,0.6091
1972-07-11,0.6085,0.6085,0.6085,0.6085
1972-07-12,0.6087,0.6087,0.6087,0.6087
1972-07-13,0.6088,0.6088,0.6088,0.6088
1972-07-14,0.6084,0.6084,0.6084,0.6084
1972-07-17,0.6096,0.6096,0.6096,0.6096
1972-07-18,0.6077,0.6077,0.6077,0.6077
1972-07-19,0.6052,0.6052,0.6052,0.6052
1972-07-20,0.6058,0.6058,0.6058,0.6058
1972-07-21,0.6055,0.6055,0.6055,0.6055
1972-07-24,0.6054,0.6054,0.6054,0.6054
1972-07-25,0.6052,0.6052,0.6052,0.6052
1972-07-26,0.6049,0.6049,0.6049,0.6049
1972-07-27,0.604,0.604,0.604,0.604
1972-07-28,0.6035,0.6035,0.6035,0.6035
1972-07-31,0.6041,0.6041,0.6041,0.6041
1972-08-01,0.6037,0.6037,0.6037,0.6037
1972-08-02,0.6025,0.6025,0.6025,0.6025
1972-08-03,0.6027,0.6027,0.6027,0.6027
1972-08-04,0.6026,0.6026,0.6026,0.6026
1972-08-07,0.6028,0.6028,0.6028,0.6028
1972-08-08,0.6023,0.6023,0.6023,0.6023
1972-08-09,0.6018,0.6018,0.6018,0.6018
1972-08-10,0.6012,0.6012,0.6012,0.6012
1972-08-11,0.6013,0.6013,0.6013,0.6013
1972-08-14,0.6017,0.6017,0.6017,0.6017
1972-08-15,0.6009,0.6009,0.6009,0.6009
1972-08-16,0.6001,0.6001,0.6001,0.6001
1972-08-17,0.5994,0.5994,0.5994,0.5994
1972-08-18,0.5995,0.5995,0.5995,0.5995
1972-08-21,0.5992,0.5992,0.5992,0.5992
1972-08-22,0.6011,0.6011,0.6011,0.6011
1972-08-23,0.6012,0.6012,0.6012,0.6012
1972-08-24,0.6012,0.6012,0.6012,0.6012
1972-08-25,0.6,0.6,0.6,0.6
1972-08-28,0.6004,0.6004,0.6004,0.6004
1972-08-29,0.6006,0.6006,0.6006,0.6006
1972-08-30,0.6016,0.6016,0.6016,0.6016
1972-08-31,0.6009,0.6009,0.6009,0.6009
1972-09-01,0.6012,0.6012,0.6012,0.6012
1972-09-05,0.6013,0.6013,0.6013,0.6013
1972-09-06,0.6017,0.6017,0.6017,0.6017
1972-09-07,0.6023,0.6023,0.6023,0.6023
1972-09-08,0.6023,0.6023,0.6023,0.6023
1972-09-11,0.602,0.602,0.602,0.602
1972-09-12,0.6015,0.6015,0.6015,0.6015
1972-09-13,0.6012,0.6012,0.6012,0.6012
1972-09-14,0.6007,0.6007,0.6007,0.6007
1972-09-15,0.5996,0.5996,0.5996,0.5996
1972-09-18,0.5986,0.5986,0.5986,0.5986
1972-09-19,0.5993,0.5993,0.5993,0.5993
1972-09-20,0.6002,0.6002,0.6002,0.6002
1972-09-21,0.5996,0.5996,0.5996,0.5996
1972-09-22,0.5998,0.5998,0.5998,0.5998
1972-09-25,0.5994,0.5994,0.5994,0.5994
1972-09-26,0.5992,0.5992,0.5992,0.5992
1972-09-27,0.5997,0.5997,0.5997,0.5997
1972-09-28,0.5991,0.5991,0.5991,0.5991
1972-09-29,0.5988,0.5988,0.5988,0.5988
1972-10-02,0.5976,0.5976,0.5976,0.5976
1972-10-03,0.5971,0.5971,0.5971,0.5971
1972-10-04,0.5982,0.5982,0.5982,0.5982
1972-10-05,0.5999,0.5999,0.5999,0.5999
1972-10-06,0.6001,0.6001,0.6001,0.6001
1972-10-10,0.5986,0.5986,0.5986,0.5986
1972-10-11,0.5973,0.5973,0.5973,0.5973
1972-10-12,0.5969,0.5969,0.5969,0.5969
1972-10-13,0.5964,0.5964,0.5964,0.5964
1972-10-16,0.5967,0.5967,0.5967,0.5967
1972-10-17,0.5966,0.5966,0.5966,0.5966
1972-10-18,0.598,0.598,0.598,0.598
1972-10-19,0.5979,0.5979,0.5979,0.5979
